191-0060|And if that is different across different places, then consequently your chances for a good outcome after a disease are also different.|And if that is different across different places, then consequently your chances for a good outcome after a disease are also different.
191-0061|Finally, once we have defined the differential diagnosis, we know what the true cause of the disease,|Finally, once we have defined the differential diagnosis, we know what the true cause of the disease,
191-0062|We can apply a treatment.|We can apply a treatment.
191-0063|There is a whole nother line of work which is on interventional assistance,|There is a whole nother line of work which is on interventional assistance,
191-0064|Where for example, people are working on interactive or automated segmentation algorithm.|Where for example, people are working on interactive or automated segmentation algorithm.
191-0065|There is a lot of work on data fusion that can inform intra operatively,|There is a lot of work on data fusion that can inform intra operatively,
191-0066|Where to place instruments and implants optimally, so that is a lot about image registration.|Where to place instruments and implants optimally, so that is a lot about image registration.
191-0067|And then there is a different line of work,|And then there is a different line of work,
191-0068|That tries to perform activity recognition, skill recognition during surgery,|That tries to perform activity recognition, skill recognition during surgery,
191-0069|It is important both for the education and the training of new surgeons and residents,|It is important both for the education and the training of new surgeons and residents,
191-0070|But it can also be important in order to give feedback immediately during the surgery, and actively assist the surgeon in the activities that they are performing.|But it can also be important in order to give feedback immediately during the surgery, and actively assist the surgeon in the  activities that they are performing.
191-0071|All of these are very interesting topics of research,|All of these are very interesting topics of research,
191-0072|All the way from public health and wellness,|All the way from public health and wellness,
191-0073|To actually trying to help and guide treatment, interventionally.|To actually trying to help and guide treatment, interventionally.
233-0001|We have now just talked about human AI interaction and,|We have now just talked about human AI interaction and,
233-0002|synergistically using the power of ay eye and machine learning and the power of humans to build systems that are collaborative.|synergistically using the power of ay eye and machine learning and the power of humans to build systems that are collaborative.
233-0003|But what this means is that we are going to move ay eye and deep learning research out of the benign environment of academic exercise.|But what this means is that we are going to move ay eye and deep learning research out of the benign environment of academic exercise.
233-0004|Making a transition into impacting people's lives with this type of Technology.|Making a transition into impacting people's lives with this type of Technology.
233-0005|How good is my algorithm going to compete against other methods on that specific tasks for example image classification?|How good is my algorithm going to compete against other methods on that specific tasks for example image classification?
233-0006|But now we are thinking about something that is a little bit different.|But now we are thinking about something that is a little bit different.
233-0007|Cause we are thinking about the question of how can I impact users.|Cause we are thinking about the question of how can I impact users
233-0008|How can I have an impact of benefit to society?|How can I have an impact of benefit to society?
233-0009|and to humankind in general|and to humankind in general
233-0010|when we think about this| when we think about this
233-0011|at least when some people think about this|at least when some people think about this
233-0012|Should we be afraid of something?|Should we be afraid of something?
233-0013|Yes, what should we be afraid of?|Yes, what should we be afraid of?
233-0014|Old sorcerer has vanished and for once has gone to waste|Old sorcerer has vanished and for once has gone to waste
233-0015|Spirits called by him now banished|Spirits called by him now banished
233-0016|Do you recognize this? This is from the sorcerer’s apprentice.|Do you recognize this? This is from the sorcerer’s apprentice.
233-0017|Not going to be more specific on how I think this relates to what we will be talking about| Not going to be more specific on how I think this relates to what we will be talking about
233-0018|But I hope that you will be able to make some connections.|But I hope that you will be able to make some connections.
233-0019|Here are a quick overview of the overarching problems that we need to be thinking about.|Here are a quick overview of the overarching problems that we need to be thinking about.
233-0020|We are going to use and develop ay eye and deep learning systems that affect people's lives.|We are going to use and develop ay eye and deep learning systems that affect people's lives.
233-0021|The first challenge that we need to think about are problem formulation.|The first challenge that we need to think about are problem formulation.
233-0022|We need to understand that algorithms particularly in an industry and commercialization setting are designed and deployed with certain goals in mind.|We need to understand that algorithms particularly in an industry and commercialization setting are designed and deployed with certain goals in mind.
233-0023|Companies may need to hit their production milestones. They need to have certain revenue goals. They have all sorts of different things.|Companies may need to hit their production milestones. They need to have certain revenue goals. They have all sorts of different things.
233-0024|And when they develop an algorithm when they then they when they decide to deploy deployed algorithm, they really deployed in order to achieve or make progress towards some of these goals.|And when they develop an algorithm when they then they when they decide to deploy deployed algorithm, they really deployed in order to achieve or make progress towards some of these goals.
233-0025|So the allegedly innocent accuracy that we usually report specificity or sensitivity or what have you can actually refer|So the allegedly innocent accuracy that we usually report specificity or sensitivity or what have you can actually refer
233-0026|To give you an example of what I mean when I say that is one example, consider a bank|To give you an example of what I mean when I say that is one example, consider a bank
233-0027|We would like to automate the process of assessing an applicant’s credit worthiness for a credit.|We would like to automate the process of assessing an applicant’s credit worthiness for a credit.
233-0028|Now the problem with credit worthiness is that it is a bit of a nebulous concept. It's a little unclear on what should go and what shouldn't go into a credit worthiness score.| Now the problem with credit worthiness is that it is a bit of a nebulous concept. It's a little unclear on what should go and what shouldn't go into a credit worthiness score.
233-0029|So in order to solve this problem one way of addressing this would be to redefine the problem that is actually|So in order to solve this problem one way of addressing this would be to redefine the problem that is actually
233-0030|Actually soft as a surrogate or as a proxy to come up with credit worthiness|Actually soft as a surrogate or as a proxy to come up with credit worthiness
233-0031|One way of doing this for example, would be to say. Eell. I want to define a metric the classifieds applicants for loans.|One way of doing this for example, would be to say. Eell. I want to define a metric the classifieds applicants for loans.
233-0032|Such that given a certain time span, I can maximize my profit margin.|Such that given a certain time span, I can maximize my profit margin.
233-0033|Or I can maximize the number of loans that are being repaid|Or I can maximize the number of loans that are being repaid
233-0034|Hmm and I don't have to foreclose for example house|Hmm and I don't have to foreclose for example house
233-0035|Right? This is something that can be optimized.|Right? This is something that can be optimized.
233-0036|But the problem is that if this optimization problems then it's solved completely in an unconstrained way.|But the problem is that if this optimization problems then it's solved completely in an unconstrained way.
233-0037|Then the algorithm may discover certain behavior. That for example is discriminatory or predatory.|Then the algorithm may discover certain behavior. That certain example is discriminatory or predatory.
233-0038|And you can see how this is potentially problematic and requires very well-thought-out practices to avoid this type of behavior.|And you can see how this is potentially problematic and requires very well-thought-out practices to avoid this type of behavior.
233-0039|Who is going to enforce that the auditing of these algorithms? That's a good question and maybe there is a bit of an answer at the end of the session.|Who is going to enforce that the auditing of these algorithms? That's a good question and maybe there is a bit of an answer at the end of the session.
233-0040|How we collect data and what data we collect|How we collect data and what data we collect
233-0041|that the data that we collect maybe unrepresentative of reality or the data is required by historic processes that for example are already biased.|that the data that we collect maybe unrepresentative of reality or the data is required by historic processes that for example are already biased.
233-0042|Now, for unrepresentative data, this means that we are curating a training set of our algorithm and that training set that we use to develop is unrepresentative of the target population.|Now, for unrepresentative data, this means that we are curating a training set of our algorithm and that training set that we use to develop is unrepresentative of the target population.
233-0043|For most of you this shouldn't be new we have already talked about some of these examples of the deep learning for healthcare class.|For most of you this shouldn't be new we have already talked about some of these examples of the deep learning for healthcare class.
233-0044|Gives you a dataset that potentially is unrepresentative of the target population that the algorithm would later be run on.|Gives you a dataset that potentially is unrepresentative of the target population that the algorithm would later be run on.
233-0045|A very interesting algorithm that does something that is exciting.|A very interesting algorithm that does something that is exciting.
233-0046|that, if downsample looks very similar to the images to the image that is being provided and the pixelated version|that, if downsample looks very similar to the images to the image that is being provided and the pixelated version
233-0047|It particularly gained a lot of attention because when the algorithm was fed, the pixelated image that you can see here on the bottom right|It particularly gained a lot of attention because when the algorithm was fed, the pixelated image that you can see here on the bottom right
233-0048|When presented with this image the algorithm would reconstruct the high high resolution version of this image that looks like this|When presented with this image the algorithm would reconstruct the high high resolution version of this image that looks like this
233-0049|And you could probably argue that this does not look anything like Barack Obama|And you could probably argue that this does not look anything like Barack Obama
233-0050|Another example that has gained quite a bit of attention is the Google photos feature that creates automatically albums for you|Another example that has gained quite a bit of attention is the Google photos feature that creates automatically albums for you
233-0051|Because it is highly racist. It is highly discriminatory and it affects people negatively in their everyday life.|Because it is highly racist. It is highly discriminatory and it affects people negatively in their everyday life.
233-0052|So we need to think strongly about how are we going to solve these problems going forward.|So we need to think strongly about how are we going to solve these problems going forward.
233-0053|Then we probably need to create dataset that are fair.|Then we probably need to create dataset that are fair.
233-0054|But the thing to realize is that also fair datasets can potentially result in algorithms that are anything but fair.|But the thing to realize is that also fair datasets can potentially result in algorithms that are anything but fair.
233-0055|Imagine a data set that is shows the faces because we have talked about faces in these two examples.|Imagine a data set that is shows the faces because we have talked about faces in these two examples.
233-0056|Included in this dataset, they accurately capture the demographics of, say, German| Included in this dataset, they accurately capture the demographics of, say, German
233-0057|Okay, you can see the population the demographics of Germany in 2017 in the right hand side here.|Okay, you can see the population the demographics of Germany in 2017 in the right hand side here.
233-0058|Its certainly representative right? Because it is created exactly based on the population of the demographics that we find in Germany.|Its certainly representative right? Because it is created exactly based on the population of the demographics that we find in Germany.
233-0059|but as you can see on the right hand side, the demographics in Germany is predominantly Germans, which are Caucasians, which means there are lights and white skin|but as you can see on the right hand side, the demographics in Germany is predominantly Germans, which are Caucasians, which means there are lights and white skin
233-0060|So people of color and potentially other nationalities are heavily underrepresented in that specific dateset.|So people of color and potentially other nationalities are heavily underrepresented in that specific dateset.
233-0061|It would mean that an algorithm trained on this dataset is trained on a fair dataset.|It would mean that an algorithm trained on this dataset is trained on a fair dataset.
233-0062|So then so then maybe we should just get all the data right? Let's just acquire all the data.|So then so then maybe we should just get all the data right? Let's just acquire all the data.
233-0063|Maybe that's not the right answer either. This has in fact has been shown to be very problematic.|Maybe that's not the right answer either. This has in fact has been shown to be very problematic.
233-0064|The problems arise from these automated ways how the images are sourced for example using large scale Google image search.|The problems arise from these automated ways how the images are sourced for example using large scale Google image search.
233-0065|Which is the data set that we’ve all been using for a very long time.|Which is the data set that we’ve all been using for a very long time.
233-0066|Even if you find other ways of acquiring data some of the data that you actually acquire and in fact some of the problems that we have just seen with this large curation large and automated curation of visual datasets.|Even if you find other ways of acquiring data some of the data that you actually acquire and in fact some of the problems that we have just seen with this large curation large and automated curation of visual datasets.
233-0067|Results from the problems that there are biases and how the data that are then being source and then being mined|Results from the problems that there are biases and how the data that are then being source and then being mined
233-0068|Right? Because of data that has been generated that is available now has been generated using historic processes.| Right? Because of data that has been generated that is available now has been generated using historic processes.
233-0069|And the historic processes that generated this data may not have been ideal.|And the historic processes that generated this data may not have been ideal.
233-0070|The algorithm trained on those datasets would then obviously also exhibit exactly those biases and prejudice.|The algorithm trained on those datasets would then obviously also exhibit exactly those biases and prejudice.
233-0071|So the example that I'm going to give you here is a very famous one, which is the algorithm developed by Amazon. It’s not used any longer because of the problems that we are discussing.|So the example that I'm going to give you here is a very famous one, which is the algorithm developed by Amazon. It’s not used any longer because of the problems that we are discussing.
233-0072|You would like to retrieve the most promising applicants in order to make for example automated hiring decisions.|You would like to retrieve the most promising applicants in order to make for example automated hiring decisions.
233-0073|But there is a whole lot of problems right? Because of dataset that you're basing this on is a dataset that has all the resumes that applied to Amazon.|But there is a whole lot of problems right? Because of dataset that you're basing this on is a dataset that has all the resumes that applied to Amazon.
233-0074|The positive cases that you can use in order to train your algorithm, the people that came to Amazon and actually stayed there, are only the people that can currently deal with it.|The positive cases that you can use in order to train your algorithm, the people that came to Amazon and actually stayed there, are only the people that can currently deal with it.
233-0075|those are the people that somehow cleared the interview process.|those are the people that somehow cleared the interview process.
233-0076|and if that recruitment process is biased then there is no way that you will see cases that could have done well, but they were not selected|and if that recruitment process is biased then there is no way that you will see cases that could have done well, but they were not selected
233-0077|Right? It's not it's not like the country is run by a whole lot of racists.|Right? It's not it's not like the country is run by a whole lot of racists.
233-0078|The way how is things are structured is essentially based on this historic system that is not perfect|The way how is things are structured is essentially based on this historic system that is not perfect.
234-0000|Switching gears a little bit, we have talked a lot about|Switching gears a little bit, we have talked a lot about
234-0001|human ay eye interaction and the impact that|human ay eye interaction and the impact that
234-0002|the ay eye system may have on humans and how this may be|the ay eye system may have on humans and how this may be
234-0003|exploitatory and discriminatory and how we need to think about not|exploitatory and discriminatory and how we need to think about not
234-0004|Now we're going to think about something slightly different, which is potentially is with human ay eye interaction but potentatially al also|Now we're going to think about something slightly different, which is potentially is with human ay eye interaction but potentatially al also
234-0005|which can be okay in this context, and the context is using ay eye for good|which can be okay in this context, and the context is using ay eye for good
234-0006|the question that we're trying to address here and talk a little bit about it is, whether or not we can use and how we can use ay eye in machine learning|the question that we're trying to address here and talk a little bit about it is, whether or not we can use and how we can use ay eye in machine learning
234-0007|to solve society's biggest challenges|to solve society's biggest challenges
234-0008|An algorithm is really just an opinion embedded in math and we can decide what option we want to embed in this algorithm, right?|An algorithm is really just an opinion embedded in math and we can decide what option we want to embed in this algorithm, right?
234-0009|So maybe we can embed alturistic opinions and solve some of society's biggest challenges!|So maybe we can embed alturistic opinions and solve some of society's biggest challenges!
234-0010|Wouldn't that be exciting? I think it would.|Wouldn't that be exciting? I think it would.
234-0011|to really improve, some of society's biggest challenges.|to really improve, some of society's biggest challenges.
234-0012|The first project here that I wanna talk about|The first project here that I wanna talk about
234-0013|By narrowing the range of estimates of the size of land available for reforestation,|By narrowing the range of estimates of the size of land available for reforestation,
234-0014|We are not very nice to the rainforests and see oh two generation is a problem, so they are using essentially|We are not very nice to the rainforests and see oh two generation is a problem, so they are using essentially
234-0015|To properly estimate where we could effectively reforest|To properly estimate where we could effectively reforest
234-0016|Another example I briefly  wanted to talk about is this one right here, that is essentially tries to generate|Another example I briefly  wanted to talk about is this one right here, that is essentially tries to generate
234-0017|a highest plastic concentration, so that we can deploy|a highest plastic concentration, so that we can deploy
234-0018|Another project, here, tries to build a product that would aid in the prediction of potential accident-prone areas|Another project, here, tries to build a product that would aid in the prediction of potential accident-prone areas
234-0019|And I can definitely tell you that something like this in Baltimore would be very useful and would very likely highlight some part|And I can definitely tell you that something like this in Baltimore would be very useful and would very likely highlight some part
234-0020|There are multiple efforts that are happening on the corperate level, on the institutional and societal level|There are multiple efforts that are happening on the corperate level, on the institutional and societal level
234-0021|try to improve and try to promote the use of artificial intelligence, machine learning, and deep learning for the greater good|try to improve and try to promote the use of artificial intelligence, machine learning, and deep learning for the greater good
234-0022|That provide resources for labeling grants, so that large amounts of datasets can be labeled|That provide resources for labeling grants, so that large amounts of datasets can be labeled
234-0023|Get access to the higher level of compute that you may need to solve the problem that you're interested in.|Get access to the higher level of compute that you may need to solve the problem that you're interested in.
234-0024|I have previously offered, and I'm offering it again,|I have previously offered, and I'm offering it again,
234-0025|Using this technology for the greater good is really a very important thing.|Using this technology for the greater good is really a very important thing.
234-0026|If you think about ay eye for good, then one thing to think about as well is, think about the sustainable development goals that have been set out by the United Nations|If you think about ay eye for good, then one thing to think about as well is, think about the sustainable development goals that have been set out by the United Nations
234-0027|that allow you to provide some framework for what the large social challenges are that we need to be dealing with in the next couple of years in order to provoke|that allow you to provide some framework for what the large social challenges are that we need to be dealing with in the next couple of years in order to provoke
234-0028|and they include no poverty, zero hunger, good health and well-being|and they include no poverty, zero hunger, good health and well-being
234-0029|which are all goals that I'm very sure, uh, we all can get behind.|which are all goals that I'm very sure, uh, we all can get behind.
234-0030|I think it's certainly one of the better things to var feel very strongly about because|I think it's certainly one of the better things to var feel very strongly about because
235-0000|As the last subchapter of today's lecture, I want to very briefy talk about the environmental impact|As the last subchapter of today's lecture, I want to very briefy talk about the environmental impact
235-0001|why, thinking about ay eye for good, particularly thinking about using ay eye and so on for reforestation and reducing the see oh footprint is probably not a bad idea.|why, thinking about ay eye for good, particularly thinking about using ay eye and so on for reforestation and reducing the see oh footprint is probably not a bad idea.
235-0002|There are a couple of rather frightening headlines around that in twenty-twenty due to covid,|There are a couple of rather frightening headlines around that in twenty-twenty due to covid,
235-0003|are not as prominent as they were before, but rest assured they will become just as pressing, just as urgent, and just as uncomfortable|are not as prominent as they were before, but rest assured they will become just as pressing, just as urgent, and just as uncomfortable
235-0004|Because major climate reports describe this very strong risk of crisis|Because major climate reports describe this very strong risk of crisis
235-0005|Due to, you know, climate change as early as twenty forty.|Due to, you know, climate change as early as twenty forty.
235-0006|and there is a scientific consensus that indeed the earth's climate is warming and that's it's humans that can be attributed.|and there is a scientific consensus that indeed the earth's climate is warming and that's it's humans that can be attributed.
235-0007|Now, you probably know is that we all contribute to climate change, every single one of us|Now, you probably know is that we all contribute to climate change, every single one of us
235-0008|So how are we producing carbon emissions? Well so, for example, air travel produces carbon emissions. Simple human life produces carbon emissions because we happen to breathe|So how are we producing carbon emissions? Well so, for example, air travel produces carbon emissions. Simple human life produces carbon emissions because we happen to breathe
235-0009|right? And you can that some of the major industrial uh nations, China, Germany, and United States also produce a substantial amount of see oh two.|right? And you can that some of the major industrial uh nations, China, Germany, and United States also produce a substantial amount of see oh two.
235-0010|So why are we talking about this? In this context of deep learning|So why are we talking about this? In this context of deep learning
235-0011|A computer, that we use, to train neural network, requires electricity.|A computer, that we use, to train neural network, requires electricity.
235-0012|and the computer that we use to train a neural network requires electricity.|and the computer that we use to train a neural network requires electricity.
235-0013|More computers require more electricity. So what you can see here is that the recent advances that we saw|More computers require more electricity. So what you can see here is that the recent advances that we saw
235-0014|This system then acquired four thousand uh forty five thousand years of dota self play over ten real time months, right? That is a craaazy amount of data crunching.|This system then acquired four thousand uh forty five thousand years of dota self play over ten real time months, right? That is a craaazy amount of data crunching.
235-0015|The first model gee pee tee one paired with more data sourced from reddit and much much much much much more compute.|The first model gee pee tee one paired with more data sourced from reddit and much much much much much more compute.
235-0016|So, again, we all contribute to climate change, training deep neural networks|So, again, we all contribute to climate change, training deep neural networks
235-0017|and, we need to cut, the carbon footprint.|and, we need to cut, the carbon footprint.
235-0018|Now what you can see here are estimates of how much carbon a specific architecture|Now what you can see here are estimates of how much carbon a specific architecture
235-0019|When we also tune the parameters of this network and experiment a little, it's somewhere at the order of eighty thousand.|When we also tune the parameters of this network and experiment a little, it's somewhere at the order of eighty thousand.
235-0020|This crazy number right here, uh more than six hundred thousand pounds of carbon estimates|This crazy number right here, uh more than six hundred thousand pounds of carbon estimates
235-0021|Here you can see something that also lists the prices|Here you can see something that also lists the prices
235-0022|your paper to understand whether the model actually is compatible with the available resources that they have at their system so that they don't train their model a couple of times to only understand that this will never work|your paper to understand whether the model actually is compatible with the available resources that they have at their system so that they don't train their model a couple of times to only understand that this will never work
235-0023|and also to provide standardized measurements such as the time to convergence in gigaflops|and also to provide standardized measurements such as the time to convergence in gigaflops
235-0024|the sensitivity to hyper parameters for example the variance and the output of the model to just give people a feeling for whether or not this is a good investment|the sensitivity to hyper parameters for example the variance and the output of the model to just give people a feeling for whether or not this is a good investment
235-0025|These recent models that achieve state of the art performance in playing dota, in language modeling|These recent models that achieve state of the art performance in playing dota, in language modeling
235-0026|that in some of the areas that we are observing here, the rich get richer and this is also in the context of federal funding simply because you can demonstrate|that in some of the areas that we are observing here, the rich get richer and this is also in the context of federal funding simply because you can demonstrate
235-0027|but what is more important than all of these things is that we need to prioritize the development of computationally efficient hardware and algorithms which is probably more in our computer scientist's|but what is more important than all of these things is that we need to prioritize the development of computationally efficient hardware and algorithms which is probably more in our computer scientist's
235-0028|they must be tightly integrated into the popular framework that everyone uses because if they are not integrated if they are somehow some exotic method that someone has published|they must be tightly integrated into the popular framework that everyone uses because if they are not integrated if they are somehow some exotic method that someone has published
235-0029|quick prototyping, right? So integrating this tightly into the frameworks that everyone AT SCALE uses is one of the best ways forward to make an impact|quick prototyping, right? So integrating this tightly into the frameworks that everyone AT SCALE uses is one of the best ways forward to make an impact
235-0030|this is the end of today's class on human centered ay eye and ay eye's impact on the environment|this is the end of today's class on human centered ay eye and ay eye's impact on the environment
235-0031|If you have questions I think these are certainly topics that are very worthwhile discussing please submit them|If you have questions I think these are certainly topics that are very worthwhile discussing please submit them.
MA01_01|The birch canoe slid on the smooth planks.|The birch canoe slid on the smooth planks.
MA01_02|Glue the sheet to the dark blue background.|Glue the sheet to the dark blue background.
MA01_03|It's easy to tell the depth of a well.|It's easy to tell the depth of a well.
MA01_04|These days a chicken leg is a rare dish.|These days a chicken leg is a rare dish.
MA01_05|Rice is often served in round bowls.|Rice is often served in round bowls.
MA01_06|The juice of lemons makes fine punch.|The juice of lemons makes fine punch.
MA01_07|The box was thrown beside the parked truck.|The box was thrown beside the parked truck.
MA01_08|The hogs were fed chopped corn and garbage.|The hogs were fed chopped corn and garbage.
MA01_09|Four hours of steady work faced us.|Four hours of steady work faced us.
MA01_10|A large size in stockings is hard to sell.|A large size in stockings is hard to sell.
MA02_01|The boy was there when the sun rose.|The boy was there when the sun rose.
MA02_02|A rod is used to catch pink salmon. |A rod is used to catch pink salmon. 
MA02_03|The source of the huge river is the clear spring.|The source of the huge river is the clear spring.
MA02_04|Kick the ball straight and follow through.|Kick the ball straight and follow through.
MA02_05|Help the woman get back to her feet.|Help the woman get back to her feet.
MA02_06|A pot of tea helps to pass the evening.|A pot of tea helps to pass the evening.
MA02_07|Smoky fires lack flame and heat.|Smoky fires lack flame and heat.
MA02_08|The soft cushion broke the man's fall.|The soft cushion broke the man's fall.
MA02_09|The salt breeze came across from the sea.|The salt breeze came across from the sea.
